nameCn,nameEn,objectTypeName,description,property.record_id,property.facility_type,property.status,property.city,property.state_province,property.country,property.country_region,property.region,property.address,property.website,property.product_type,property.product_type_2,property.products,property.technology_and_materials,property.current_geometry,property.current_wafer_size,property.current_full_capacity,property.capacity_200mm_equivalent,property.cleanroom_sq_ft,property.cleanroom_class,property.facility_size,property.start_year,property.construction_year,property.first_silicon_year,property.production_year,property.data_source,property.source_sheet,source_url
"Samsung - Copper fab (Austin 1, BEOL)",,后道工厂,"Samsung 的 Copper fab (Austin 1, BEOL)，位于 Austin, Texas, 美国。",1283,晶圆厂，后道工序,In production,Austin,Texas,美国,美洲,NA,12100 Samsung Boulevard,www.samsung.com,代工/IDM/逻辑与微器件,Logic&Micro,"Cu line, System LSI",CMOS,0.09,12,,,142000,1,764000,1997,2012,2012,2012,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
Samsung - Line 15-Cu processing,,后道工厂,"Samsung 的 Line 15-Cu processing，位于 Hwaseong, Gyeonggi, 韩国。",3453,晶圆厂，后道工序,In production,Hwaseong,Gyeonggi,韩国,韩国,亚太,171 Dongtan 1(il)-dong,www.samsung.com,Memory/DRAM&Flash,Memory,Cu,Cu,,12,,,,,,2010,2010,2010,2010,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
Samsung - S1-B Line BEOL (former Line 9 & Line 8),,后道工厂,"Samsung 的 S1-B Line BEOL (former Line 9 & Line 8)，位于 Giheung, Gyeonggi, 韩国。",1393,晶圆厂，后道工序,In production/support,Giheung,Gyeonggi,韩国,韩国,亚太,"San #24 Nongseo-Ri, Giheung-Eup, Youngin-City",www.samsung.com,代工/IDM/逻辑与微器件,Logic&Micro,Copper (Cu) processing line for System LSI Foundry,"CMOS, Cu",0.028,12,,,,1,,1999,2011,2011,2011,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
Samsung - TSV (was N Line),,后道工厂,"Samsung 的 TSV (was N Line)，位于 Giheung, Gyeonggi, 韩国。",860,曾为晶圆厂现为后端,In production,Giheung,Gyeonggi,韩国,韩国,亚太,"San #24 Nongseo-Ri, Giheung-Eup, Youngin-City",www.samsung.com,Back End,Other,TSV (chip packaging),"CMOS, Cu, low-K, SOI",,8,,,,10,,1993,1991,1992,1993,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
Samsung - Line 10,,后道工厂,"Samsung 的 Line 10，位于 Hwaseong, Gyeonggi, 韩国。",1719,晶圆厂，后道工序,In production/support,Hwaseong,Gyeonggi,韩国,韩国,亚太,"1, Samsungjeonja-ro",www.samsung.com,存储器/DRAM,Memory,"BEOL supporting fab for DRAM (SDRAM, DDR); Graphic Memory","CMOS, Cu",0.068,12,,,,1,1399308,2000,2010,2010,2010,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg #2 and #3",,后道工厂,"Shindengen Electric Manufacturing Co., Ltd. 的 Ooura Bldg #2 and #3，位于 Yurihonjo, Akita, 日本。",961,曾为晶圆厂现为后端,in production,Yurihonjo,Akita,日本,日本,日本,"114-2, Aza Kamiyachi, Ooura,",http://www.shindengen.co.jp,Back End,Other,"Backend!  Was: Diode, Varistor, Thyristor, MOSFET, Hybrid IC, Wafer",Backend,2,5,30000,11718.75,25000,,,1971,1972,1973,1973,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.shindengen.co.jp
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg#5",,后道工厂,"Shindengen Electric Manufacturing Co., Ltd. 的 Ooura Bldg#5，位于 Yurihonjo, Akita, 日本。",3613,曾为晶圆厂现为后端,In production,Yurihonjo,Akita,日本,日本,日本,"114-2, Aza Kamiyachi, Ooura,",http://www.shindengen.co.jp,Back End,Other,"Backend! Was: Diode, Varistor, Thyristor, MOSFET, Hybrid IC, Wafer",Backend,2,5,20000,7812.5,,,,1991,1989,1991,1991,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.shindengen.co.jp
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg # 4",,后道工厂,"Shindengen Electric Manufacturing Co., Ltd. 的 Ooura Bldg # 4，位于 Yurihonjo, Akita, 日本。",1648,曾为晶圆厂现为后端,in production,Yurihonjo,Akita,日本,日本,日本,"114-2, Aza Kamiyachi, Ooura,",http://www.shindengen.co.jp,Back End,Other,"Backend! Was: Diode, Varistor, Thyristor, MOSFET, Hybrid IC, Wafer",Backend,2,5,16000,6250,,,,1981,1980,1981,1981,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.shindengen.co.jp
"Shindengen Electric Manufacturing Co., Ltd. - Ooura Bldg #1",,后道工厂,"Shindengen Electric Manufacturing Co., Ltd. 的 Ooura Bldg #1，位于 Yurihonjo, Akita, 日本。",3215,曾为晶圆厂现为后端,In production,Yurihonjo,Akita,日本,日本,日本,"114-2, Aza Kamiyachi, Ooura,",http://www.shindengen.co.jp,Back End,Other,Backend,Backend,2,4,20000,5000,,,,1984,1983,1984,1984,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.shindengen.co.jp
Silicon Sensing - Silicon Sensing Systems Japan,,后道工厂,"Silicon Sensing 的 Silicon Sensing Systems Japan，位于 Amagasaki, Hyogo, 日本。",4948,晶圆厂及后端,In production,Amagasaki,Hyogo,日本,日本,日本,1-10 Fuso-cho,www.siliconsensing.com,代工/MEMS,MEMS,"Pure MEMS: Accelerometer Sensors, Gyroscopes",MEMS,1,8,800,800,12917,,40000,1999,1998,2000,2000,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,file:///Users/simon/Documents/Simon-OB/%E6%9C%AC%E4%BD%93%E8%AE%BA/base/%E5%8D%8A%E5%AF%BC%E4%BD%93/output/semiconductor_ontology.json
TDK Corporation - TDK-Tronics Addison,,后道工厂,"TDK Corporation 的 TDK-Tronics Addison，位于 Addison, Texas, 美国。",4932,晶圆厂及后端,In production-for sale,Addison,Texas,美国,美洲,NA,15050 E. Beltwood Pkwy,http://www.global.tdk.com/,代工/MEMS,MEMS,"BioMEMS, diagnostic chips, microfluidics, lab-on-chips, and also suitable for chemical sensors, infrared sensors and optical grating devices",MEMS,1,8,2400,2400,15000,100,25000,1985,2016,2017,2017,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.global.tdk.com/
Teledyne Electronics and Communications - Microwave,,后道工厂,"Teledyne Electronics and Communications 的 Microwave，位于 Mountain View, California, 美国。",1053,曾为晶圆厂现为后端,in production,Mountain View,California,美国,美洲,NA,1274 Terra Bella Ave,http://www.tet.com,Pilot,Other,"FET, Amplifiers, Tranceivers, BAW Delay lines, Synthesizers, (MEMS/RF), GaAs",GaAs,0.5,3,80,11.25,6000,10,,1971,1969,1971,1971,/Users/simon/Documents/Simon-OB/本体论/base/半导体/SEMI_WFF_2026_1Q.xlsx,Company Detail,http://www.tet.com
