company_name,business_segment,metric_period,gross_margin_pct,metric_basis,source_doc,source_date,confidence,notes
Amkor Technology Inc.,packaging_testing,Q4FY2025,16.7,quarterly_gross_margin,https://ir.amkor.com/news-releases/news-release-details/amkor-reports-fourth-quarter-and-full-year-results,2026-02,medium,Q4 2025 gross margin.
"ASE Technology Holding Co., Ltd.",packaging_testing_ATM,Q4FY2025,26.3,ATM_business_gross_margin,https://www.prnewswire.com/news-releases/ase-technology-holding-co-ltd-reports-its-unaudited-consolidated-financial-results-for-the-fourth-quarter-and-the-full-year-of-2025-302679779.html,2026-02-12,high,Q4 2025 ATM gross margin.
Arm Holdings plc,company_consolidated,FY2025_ended_2025-03-31,97,gross_profit_margin,https://www.sec.gov/Archives/edgar/data/1973239/000197323925000016/arm-20250331.htm,2025-05,high,SEC 20-F gross profit as percent of revenue.
Siltronic AG,company_consolidated,FY2025,8.3,gross_margin,https://www.siltronic.com/fileadmin/investorrelations/2025/Q4/20260312_FY_conference_call_presentation_website.pdf,2026-03-12,high,FY2025 gross margin.
"GlobalWafers Co., Ltd.",company_consolidated,Q1FY2025,26.4,quarterly_gross_margin,https://www.powersemiconductorsweekly.com/2025/05/07/globalwafers-published-q1-2025-results/,2025-05-07,medium,Q1 2025 gross margin from company disclosure summary.
Renesas Electronics Corporation,company_consolidated,FY2025,57.1,IFRS_gross_margin,https://www.renesas.com/en/about/newsroom/renesas-reports-financial-results-year-ended-december-31-2025,2026-02-05,high,FY2025 IFRS gross margin.
Texas Instruments Incorporated,company_consolidated,FY2025,57.0,gross_profit_as_pct_revenue,https://investor.ti.com/static-files/7a676084-0b6d-479d-80bb-b193f27135f4,2026-02-06,high,FY2025 gross profit as percentage of revenue.
Western Digital Corporation,company_consolidated,Q2FY2026,45.7,GAAP_gross_margin,https://www.westerndigital.com/company/newsroom/press-releases/2026/2026-01-29-western-digital-reports-fiscal-second-quarter-2026-financial-results,2026-01-29,high,Q2 FY2026 GAAP gross margin.
YAGEO Corporation,passive_components,Q1FY2025,35.6,quarterly_gross_margin,https://quartr.com/events/yageo-corporation-2327-q1-2025_FT5UO362,2025-Q1,medium,Q1 2025 gross margin.
Hua Hong Semiconductor Limited,foundry,FY2025,11.8,annual_gross_margin,https://finance.yahoo.com/quote/1HH.F/earnings/1HH.F-Q4-2025-earnings_call-402754.html,2026-02,medium,FY2025 gross margin from earnings call summary.
Semiconductor Manufacturing International Corporation,foundry,Q4FY2025,19.2,quarterly_gross_margin,https://smicuat.webfoss.com/en/site/news_read/7949,2026-02-10,high,Q4 2025 gross margin.
Powertech Technology Inc.,packaging_testing,Q1FY2026,19.4,quarterly_gross_margin,https://quartr.com/companies/powertech-technology-inc_16683,2026-Q1,medium,Q1 2026 gross margin.
Navitas Semiconductor Corporation,company_consolidated,FY2025,31.03,annual_gross_margin,https://www.alphaquery.com/stock/NVTS/fundamentals/annual/gross-margin,2026-06,medium,FY2025 annual gross margin.
Winbond Electronics Corporation,company_consolidated,Q3FY2025,46.7,quarterly_gross_margin,https://www.winbond.com/hq/about-winbond/news-and-events/news/news00567.html?__locale=en,2025-11-05,high,Q3 2025 gross margin.
Powerchip Semiconductor Manufacturing Corporation,foundry,Q1FY2026,10,quarterly_gross_margin,https://www.taipeitimes.com/News/biz/archives/2026/04/23/2003856067,2026-04,medium,Q1 2026 gross margin.
